x,y,z,surface,G_x,G_y,G_z
52,444,-570,1,-0.8944271909999159,0.0,-0.4472135954999579
51,444,-568,1,-0.9863939238321437,0.0,-0.1643989873053573
47,444,-544,1,-0.9983713344239766,0.0,0.057049790538512946
49,444,-509,1,-0.9517086177605509,0.0,0.3070027799227584
59,444,-478,1,-0.9138115486202572,0.0,0.4061384660534476
71,444,-451,1,-0.8700221858486124,0.0,0.49301257198088033
88,444,-421,1,-0.8,0.0,0.6
112,444,-389,1,-0.679408031498305,0.0,0.7337606740181695
139,444,-364,1,-0.5547001962252291,0.0,0.8320502943378437
169,444,-344,1,-0.4395528639808268,0.0,0.8982167220477765
216,444,-321,1,-0.35389209741589106,0.0,0.9352862574562836
253,444,-307,1,-0.30908607233755814,0.0,0.9510340687309481
293,444,-294,1,-0.2233761563293962,0.0,0.9747323185282742
341,444,-283,1,-0.11354659116073192,0.0,0.9935326726564043
376,444,-279,1,0.0256326007925508,0.0,0.9996714309094813
415,444,-280,1,0.2687989678139454,0.0,0.9631963013333044
458,444,-292,1,0.4619344188369685,0.0,0.8869140841669795
506,444,-317,1,0.6541519329315841,0.0,0.7563631724521442
543,444,-349,1,0.7270131525498175,0.0,0.6866235329637165
577,444,-385,1,0.7880243737245634,0.0,0.6156440419723151
602,444,-417,1,0.8320502943378437,0.0,0.5547001962252291
632,444,-462,1,0.8666224568741688,0.0,0.4989644448669457
651,444,-495,1,0.862697970097658,0.0,0.5057194997124201
668,444,-524,1,0.8502651466878618,0.0,0.5263546146162954
681,444,-545,1,0.8778955729143844,0.0,0.4788521306805733
444,303,-497,1,0.0,-0.9838699100999074,-0.17888543819998318
444,301,-486,1,0.0,-0.9996876464081228,0.02499219116020307
444,302,-446,1,0.0,-0.9561999555074316,0.2927142720941117
444,317,-397,1,0.0,-0.9180623535361905,0.3964360162997186
444,336,-353,1,0.0,-0.8892878023181471,0.45734801262076136
444,354,-318,1,0.0,-0.7961621941231025,0.6050832675335579
444,373,-293,1,0.0,-0.5144957554275266,0.8574929257125442
444,388,-284,1,0.0,-0.28216632399155017,0.9593655015712707
444,405,-279,1,0.0,0.31622776601683794,0.9486832980505138
444,438,-290,1,0.0,0.49026123963255896,0.8715755371245493
444,470,-308,1,0.0,0.7071067811865476,0.7071067811865476
444,498,-336,1,0.0,0.7970921481540103,0.6038576879954624
444,523,-369,1,0.0,0.8895670181435382,0.4568046849926277
444,542,-406,1,0.0,0.9344877349289681,0.3559953275919878
444,550,-427,1,0.0,0.9684929325968497,0.24904103981061848
444,559,-462,1,0.0,0.9486832980505138,0.31622776601683794
